"snapshot_ts","vehicle_id","lat","lon","eucl_wgs84_manual_m","st_transform_eucl_m","haversine_manual_m","st_distance_sphere_m","st_distance_spheroid_m"
"2026-06-07 08:17:23.000",1236,59.42722,24.66612,424.55493950189845,425.5467676697255,424.0567267923185,424.0576586408667,425.5380834609586
"2026-06-07 08:17:54.000",1236,59.42764,24.67134,722.710283888877,724.437612488939,721.8738219361486,721.8754082266786,724.4227932826116
"2026-06-07 08:18:24.000",1236,59.42769,24.673,815.7600498734148,817.7254832605944,814.8205874433207,814.8223779810243,817.7087509713878
"2026-06-07 08:18:54.000",1236,59.42825,24.67848,1132.2414951845851,1134.9711066378188,1130.9380290135496,1130.9405142068767,1134.9478087176142
"2026-06-07 08:19:24.000",1236,59.42858,24.68094,1276.0922208291138,1279.1606867962287,1274.620755154066,1274.6235560850198,1279.134379780692
"2026-06-07 08:19:55.000",1236,59.42917,24.68604,1572.2006219389525,1575.9766065662752,1570.386322550693,1570.3897734149464,1575.944086696524
"2026-06-07 08:20:25.000",1236,59.42942,24.69157,1884.571189461439,1889.1348914919643,1882.4076042557751,1882.4117407749795,1889.0958544451307
"2026-06-07 08:20:56.000",1236,59.42946,24.69291,1959.933247286544,1964.6886265260325,1957.685882960678,1957.690184901201,1964.6480190349725
"2026-06-07 08:21:26.000",1236,59.42935,24.69677,2173.095750215127,2178.412684784421,2170.6172351907703,2170.622005039778,2178.367687793736
"2026-06-07 08:21:57.000",1236,59.42924,24.69867,2277.4913853522744,2283.086055451908,2274.9004831404254,2274.9054821479563,2283.038925616023
"2026-06-07 08:22:27.000",1236,59.42908,24.7023,2478.582110050482,2484.7035383552497,2475.7722594985953,2475.777699914175,2484.652292823581
"2026-06-07 08:22:58.000",1236,59.42907,24.70433,2592.466043046718,2598.8786283196578,2589.5300447024347,2589.535735096416,2598.825030958918
"2026-06-07 08:23:28.000",1236,59.42906,24.70426,2588.396226440451,2594.799116252711,2585.4649495357044,2585.470630996669,2594.745606056303
"2026-06-07 08:23:58.000",1236,59.42941,24.70597,2689.3880819770616,2696.02403577588,2686.3373788079884,2686.3432819322966,2695.968327875403
"2026-06-07 08:24:28.000",1236,59.43083,24.71122,3007.218427076104,3014.55152586016,3003.7809456098003,3003.7875463044757,3014.4887358172855
"2026-06-07 08:24:59.000",1236,59.43138,24.71293,3113.377726631083,3120.9317466105817,3109.8074648956244,3109.814298579544,3120.866539947505
"2026-06-07 08:25:29.000",1236,59.43234,24.71574,3290.3383116679024,3298.24966473613,3286.5434232225157,3286.550645276826,3298.180382613422
"2026-06-07 08:25:59.000",1236,59.43327,24.71897,3491.2628156501914,3499.5910680519783,3487.2162263045566,3487.2238893298145,3499.5171752139063
"2026-06-07 08:26:29.000",1236,59.43339,24.71986,3543.362248014745,3551.813007079186,3539.254718859041,3539.26249623709,3551.7379615893415
"2026-06-07 08:27:00.000",1236,59.43385,24.72219,3683.4727939598574,3692.2356462552957,3679.1961582411077,3679.2042431353057,3692.1574345747713
"2026-06-07 08:27:30.000",1236,59.43408,24.7235,3761.549136490593,3770.4890907883832,3757.179221794439,3757.1874780529815,3770.4091197142297
"2026-06-07 08:28:00.000",1236,59.43454,24.72565,3891.8990062238727,3901.124527100842,3887.3703176585395,3887.3788600076114,3901.0415746566077
"2026-06-07 08:28:30.000",1236,59.43499,24.73177,4240.45416591353,4250.544637380124,4235.531361735268,4235.540669154862,4250.454030002601
"2026-06-07 08:29:00.000",1236,59.4354,24.73288,4312.217124420082,4322.444691156988,4307.2008464840765,4307.210311394863,4322.352342997298
"2026-06-07 08:29:31.000",1236,59.43684,24.73343,4382.979026141092,4393.193936855856,4377.826118840673,4377.835738947778,4393.0993339676215
"2026-06-07 08:30:01.000",1236,59.43862,24.73554,4554.22269415377,4564.620800888031,4548.803437261806,4548.813433085181,4564.521550488106
"2026-06-07 08:30:31.000",1236,59.43962,24.73824,4733.994182500639,4744.715834546281,4728.334743558636,4728.345133895132,4744.612109136218
"2026-06-07 08:31:01.000",1236,59.44039,24.74005,4858.492561610794,4869.422569626062,4852.662051406348,4852.67271494689,4869.315675805006
"2026-06-07 08:31:32.000",1236,59.44202,24.74451,5156.967295930597,5168.429664564826,5150.736490262985,5150.747808811329,5168.31521228449
"2026-06-07 08:32:02.000",1236,59.4426,24.74838,5384.916894479858,5396.908745877358,5378.417315367029,5378.429134235368,5396.78886378337
"2026-06-07 08:32:32.000",1236,59.44339,24.75044,5524.576439989394,5536.810544322585,5517.887461649683,5517.899586998058,5536.68703732879
"2026-06-07 08:33:02.000",1236,59.44302,24.7515,5566.929992857385,5579.352559190423,5560.218179374818,5560.230397743496,5579.2283470846405
