transport_type,line_number,vehicle_id,fleet_number,lat,lon,heading_deg,speed_kmh,floor_type,destination,snapshot_ts,snapshot_date
2,8,1476,61,59.43322,24.71858,66,,Z,Äigrumäe,2026-05-23 07:08:03+03,2026-05-23
2,8,1710,18,59.43413,24.72306,211,,Z,Väike-Õismäe,2026-05-23 07:08:03+03,2026-05-23
2,8,1186,49,59.46796,24.83411,13,,Z,Äigrumäe,2026-05-23 07:08:33+03,2026-05-23
2,8,1236,34,59.47418,24.83996,262,,Z,Väike-Õismäe,2026-05-23 07:08:33+03,2026-05-23
2,8,1474,2,59.41191,24.63536,117,,Z,Väike-Õismäe,2026-05-23 07:08:33+03,2026-05-23
2,8,1476,61,59.43347,24.71973,66,,Z,Äigrumäe,2026-05-23 07:08:33+03,2026-05-23
2,8,1710,18,59.43372,24.72073,249,,Z,Väike-Õismäe,2026-05-23 07:08:33+03,2026-05-23
2,8,3393,91,59.41261,24.63638,53,,Z,Äigrumäe,2026-05-23 07:08:33+03,2026-05-23
2,8,1186,49,59.47,24.83515,14,,Z,Äigrumäe,2026-05-23 07:09:03+03,2026-05-23
2,8,1236,34,59.47403,24.83722,283,,Z,Väike-Õismäe,2026-05-23 07:09:03+03,2026-05-23
2,8,1474,2,59.41192,24.63536,117,,Z,Väike-Õismäe,2026-05-23 07:09:03+03,2026-05-23
2,8,1476,61,59.43391,24.72206,69,,Z,Äigrumäe,2026-05-23 07:09:03+03,2026-05-23
2,8,1710,18,59.43297,24.71695,249,,Z,Väike-Õismäe,2026-05-23 07:09:03+03,2026-05-23
2,8,3393,91,59.41286,24.63653,53,,Z,Äigrumäe,2026-05-23 07:09:03+03,2026-05-23
2,8,1186,49,59.4726,24.83654,18,,Z,Äigrumäe,2026-05-23 07:09:33+03,2026-05-23
2,8,1236,34,59.47361,24.83704,204,,Z,Väike-Õismäe,2026-05-23 07:09:33+03,2026-05-23
2,8,1474,2,59.41193,24.63537,117,,Z,Väike-Õismäe,2026-05-23 07:09:33+03,2026-05-23
2,8,1476,61,59.43418,24.72349,70,,Z,Äigrumäe,2026-05-23 07:09:33+03,2026-05-23
2,8,1710,18,59.4329,24.71677,249,,Z,Väike-Õismäe,2026-05-23 07:09:33+03,2026-05-23
2,8,3393,91,59.4123,24.6397,114,,Z,Äigrumäe,2026-05-23 07:09:33+03,2026-05-23
2,8,1186,49,59.47407,24.83894,77,,Z,Äigrumäe,2026-05-23 07:10:03+03,2026-05-23
2,8,1236,34,59.47067,24.83511,200,,Z,Väike-Õismäe,2026-05-23 07:10:03+03,2026-05-23
