stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,thoreb_id,date,source
14384,12906-1,Veskiposti,,59.42124,24.76396,,,,14384,2026-05-23,gtfs
14385,12908-1,Veskiposti,,59.42085,24.76426,,,,14385,2026-05-23,gtfs
1257,11401-1,Gonsiori,,59.4344,24.7679,,,,1257,2026-05-23,gtfs
1258,11402-1,Gonsiori,,59.43398,24.76998,,,,1258,2026-05-23,gtfs
1314,12220-3,Kivisilla,,59.43551,24.75954,,,,1314,2026-05-23,gtfs
1318,12305-1,Kivisilla,,59.4353,24.75876,,,,1318,2026-05-23,gtfs
1319,12305-2,Kivisilla,,59.43521,24.75932,,,,1319,2026-05-23,gtfs
3103,12220-1,Kivisilla,,59.43563,24.75864,,,,3103,2026-05-23,gtfs
1259,11501-1,Laulupeo,,59.43318,24.77775,,,,1259,2026-05-23,gtfs
1260,11502-1,Laulupeo,,59.43307,24.77712,,,,1260,2026-05-23,gtfs
142534,11507-1,Vesivärava,,59.43219,24.78226,,,,5926,2026-05-23,gtfs
142535,11508-1,Vesivärava,,59.43253,24.78202,,,,5927,2026-05-23,gtfs
163619,00012-1,Laeva,,59.43932,24.75903,,,,6857,2026-05-23,gtfs
1300,12206-1,Hobujaama,,59.43802,24.75741,,,,1300,2026-05-23,gtfs
1301,12207-1,Hobujaama,,59.43761,24.75733,,,,1301,2026-05-23,gtfs
1272,11801-1,J. Poska,,59.4401,24.78564,,,,1272,2026-05-23,gtfs
1345,12905-1,Filtri tee,,59.4216,24.77388,,,,1345,2026-05-23,gtfs
1351,13007-1,Filtri tee,,59.42071,24.77161,,,,1351,2026-05-23,gtfs
126808,07504-1,Renniotsa,,59.41445,24.76061,,,,70,2026-05-23,gtfs
126809,07505-1,Renniotsa,,59.41296,24.75783,,,,71,2026-05-23,gtfs
1261,11601-1,Bussijaam,,59.42678,24.77322,,,,1261,2026-05-23,gtfs
1353,13102-1,Hotell Olümpia,,59.42893,24.75874,,,,1353,2026-05-23,gtfs
